PaperID,Authors,Author full names,Author(s) ID,Title,Year,Source title,Link,Abstract
1,Liu M.; Luo M.,"Liu, Mengkai (37100131100); Luo, Meng (58527458400)",37100131100; 58527458400,Cost estimation model of prefabricated construction for general contractors based on system dynamics,2025,"Engineering, Construction and Architectural Management",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167345329&doi=10.1108%2fECAM-03-2023-0304&partnerID=40&md5=129da94d8deb5aabea8fbe1dfec113df,"Purpose: The poor capacity of prefabricated construction cost estimation is the essential reason for the low profitability of the general contractor. Therefore, this study aims to focus on the cost estimation of prefabricated construction as the research object. This research aims to enhance the accuracy of total project cost estimation for general contractors, ultimately leading to improved profitability. Design/methodology/approach: This study used Vensim PLE software to establish a system dynamics model. In the modeling process, a systematic research review was used to identify cost-influencing factors; ABC classification and the analytic hierarchy process were used to score and determine the weights of influencing factors. Findings: The total cost error obtained by the model is less than 2% compared with the actual value. It can be used to cost estimation and analysis. The analysis results indicate that there are 7 key factors, among which the prefabrication rate has the most significant impact. Furthermore, the model can provide the extreme range cost; the minimum cost can reduce by 13% from the value in the case. The factor's value can compose a cost control strategy for general contractors. Practical implications: The cost of prefabricated buildings can be estimated well, and deciding the prefabrication rate is crucial. The cost can be declined by correct cost control strategies when bidding and subcontracting are in process. The strategies can follow the direction of the model. Originality/value: A systemic, quantitative and qualitative analysis of cost estimation of prefabricated buildings for general contractors has been conducted. A mathematical model has been developed and validated to facilitate more effective cost-control measures. © 2023, Emerald Publishing Limited."
2,Maiti S.; Goel S.; Dutta B.K.,"Maiti, Sutanu (57220856942); Goel, Sudha (7101999411); Dutta, Binay K. (7102128719)",57220856942; 7101999411; 7102128719,"Reductive Immobilization of Hexavalent Chromium in Soil Using Hydrazine–Kinetics, Process Optimization, Sonochemical Enhancement, and Cost Estimation",2025,Soil and Sediment Contamination,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001797761&doi=10.1080%2f15320383.2024.2361010&partnerID=40&md5=905df70c8aac4a05e4d7f7b2e71c1263,"The presence of hexavalent chromium in soil poses a grave hazard to the environment and human health. This study explores the effectiveness, mechanism, and economic viability of remediation of Cr(VI)-contaminated soil by hydrazine. Soil-phase batch kinetic experiments were performed to examine the feasibility of reducing Cr(VI) while finding the effects of relevant process parameters, such as initial Cr(VI) concentration, hydrazine dosage, pH, soil-to-water ratio, and temperature. The materials were thoroughly characterized to gain insight into the mechanism. TCLP tests were done to affirm the immobilization stability. Complete Cr(VI) reduction was achieved within 3 h using a moderate 326% excess of hydrazine at neutral pH. Sonication of the soil mixed with hydrazine using a probe-type sonicator accelerated the reduction of Cr(VI) to Cr(III). Kinetic data could be adequately fitted in a second-order rate model, where the rate constant shows a linear dependency on the soil-to-water ratio. Additionally, the logarithmic rate constant demonstrates linearity within the pH range. The leaching toxicity of Cr(VI) and Crtotal complied with the USEPA regulatory limit and remained stable for 75 d. Hydrazine alone and its combination with ultrasound are sustainable and economically feasible for effective remediation of Cr(VI)-contaminated soil. The statistical analysis using RSM indicated a 99.4% reduction, aligning closely with the calculated optimized value. The optimal process conditions are easy to implement for field application at a competitive cost compared to other reductants. A simplified economic analysis was done to check the competitive acceptability of the technique, considering the construction cost of the remediation plant and its daily operational and maintenance expenses. The results show that the proposed technique will be a competitive one for field applications for the remediation of soil contaminated with Cr(VI). The data and kinetic rate equation will be useful for the process design of the remediation of soil contaminated with Cr(VI). © 2024 Taylor & Francis Group, LLC."
3,Nesticò A.; Russo F.; Maselli G.; Vietri M.,"Nesticò, Antonio (55315316900); Russo, Federica (37057904400); Maselli, Gabriella (57202367438); Vietri, Michele (58491813900)",55315316900; 37057904400; 57202367438; 58491813900,A novel cost estimation model for the urban regeneration of a slum: the case of Kibera (Nairobi),2025,Frontiers in Sustainable Cities,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002618192&doi=10.3389%2ffrsc.2025.1544486&partnerID=40&md5=8272eaf48ca3c55a2fdca6e5dce2eace,"Today, about one billion people worldwide reside in slums and informal settlements, which show extreme poverty and social inequality. Implementing well-structured strategies and programmes to make these settlements safer and more sustainable for residents is a challenge for governments. Therefore, it is crucial to define models to accurately predict the costs of intervention and assess the economic feasibility of slum upgrading actions. The aim of this paper is first to define possible intervention scenarios for the informal city and then to characterise an innovative model for the rapid estimation of related construction costs. The model, based on a synthetic-comparative evaluation procedure, allows estimating the urban regeneration costs of a slum according to the intervention scenario, which is differentiated into minimal, barely satisfactory, and fully satisfactory levels. This provides economic actors and policy makers with the essential financial terms to determine the resources to be allocated to support slums. The model is applied to the case study of Kibera (Nairobi), one of the most challenged slums in the world. The results provide a measure of the transformation costs per capita. These costs turn out to be insignificant compared to the expected economic and social benefits in the long run. Copyright © 2025 Nesticò, Russo, Maselli and Vietri."
4,Bagheri S.M.; Taghaddos H.; Hermann U.,"Bagheri, S. Marzieh (57219948078); Taghaddos, Hosein (26031827800); Hermann, Ulrich (22947497600)",57219948078; 26031827800; 22947497600,Automated safety and practicality enhancement of lift plans in modular construction,2024,Automation in Construction,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85203127892&doi=10.1016%2fj.autcon.2024.105731&partnerID=40&md5=c8238dae6cfe48b60761be43596f6c9c,"Crawler cranes are the most pivotal components on large-scale modular construction sites. Generating a practical and safe lift plan significantly impacts the successful delivery of such projects. This paper introduces an integrated crane planning and lift scheduling framework for managing multiple concurrent mobile cranes' operations. The presented framework is built upon recently developed crane planning and optimization systems. It aims to balance four primary areas of project management (time, cost, quality, and safety) through schedule enhancement, cost estimation, and risk mitigation. This approach leads to a more practical lift plan. Automating the process of detecting logical issues and satisfying the constraints in the lift planning process helps to improve time efficiency and reduce errors. This paper also scrutinizes crane operations to provide a realistic budget and schedule. The developed lift planning system is flexible and practical, as validated by its successful implementation in several real modular projects in North America. © 2024"
5,Alazawy S.F.M.; Aldhamad S.H.R.; Salih B.M.M.; Al Zwainy F.M.S.,"Alazawy, Suha Falih Mahdi (59385933600); Aldhamad, Saja Hadi Raheem (59465765100); Salih, Bilal Muiassar M. (57808376600); Al Zwainy, Faiq Mohammed Sarhan (55347693000)",59385933600; 59465765100; 57808376600; 55347693000,An Efficient Novel Model for Multi-Story Building Construction Quantity Estimation using Coupled MATLAB-Revit Software,2024,"Engineering, Technology and Applied Science Research",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211504784&doi=10.48084%2fetasr.8802&partnerID=40&md5=585fa618d267aa172563ddb17dcf318f,"The nature of the construction business and building projects necessitates the capacity to manage extensive and intricate data and documentation. The processes for documenting, exchanging, and updating data constitute one of the principal administrative challenges being currently confronted by the construction project management. As a consequence of the continued reliance on paper-based processes evidenced in the Iraqi businesses and construction projects, a considerable volume of documentation is likely to accumulate, thereby increasing the complexity and time required for specific data to be retrieved. In this study, the Support Vector Machine (SVM) and Building Information Modeling (BIM) models were used to document projects by employing the MATLAB-Revit software. The findings demonstrate that the project timeline is also recorded because it is related to the suggested model, which is designed to produce an effective model that mimics reality. A comparative analysis of the data pertaining to the foundations, columns, walls (24 cm and 12 cm), floors, and slabs of four multi-story buildings, was conducted. This analysis was divided into three categories: estimated, SVM-BIM, and actual documentation. The findings indicated that the proposed model demonstrated a high degree of accuracy in predicting the material quantities required in building construction. These values were found to be in close proximity to, and aligned with, the actual documentation. © by the authors."
6,Samya S.A.; Nagarajan V.; Appathurai A.; Suniram S.E.,"Samya, Sumithra Alagar (56422284100); Nagarajan, Vijayalakshmi (57516982300); Appathurai, Ahilan (57188654703); Suniram, Salinda Eveline (57211492829)",56422284100; 57516982300; 57188654703; 57211492829,SOFTWARE COST EFFORT AND TIME ESTIMATION USING DRAGONFLY WHALE LION OPTIMIZED DEEP NEURAL NETWORK,2024,Revue Roumaine des Sciences Techniques Serie Electrotechnique et Energetique,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209193709&doi=10.59277%2fRRST-EE.2024.69.4.11&partnerID=40&md5=41472bb51edb27ee9297f6f1dddffcd5,"Effective software development depends on the exact estimation of effort, time, cost, and customer satisfaction. Software project management requires an accurate evaluation of software development's effort, time, and cost, often underestimated or overestimated. So far, methodology has yet to accurately and reliably estimate the cost of software development. To overcome this issue, this paper proposed a constructive rapid application development model based on software cost effort and time estimation approach (CORADMO-based CETA) for accurate software cost estimation. The data requirements, cost drivers, constraints, and priorities are given as input to the fuzzy inference system (FIS). The processed output, such as effort, time, and cost for the nominal plan, shortest schedule plan, and least cost plan, is computed in the FIS. To reduce the effort, time, and cost, the output is optimized by dragonfly whale lion optimization (DWLO), which provides the best-estimated effort, time, and cost as an output for software development. The proposed CORADMO-based CETA model is tested in the NASA 93 dataset using MATLAB. The performance of the CORADMO-based CETA method is measured in terms of Pred (25 %), magnitude of relative error, and mean magnitude of relative error, attaining the values of 80.72 %, 87.94 %, and 98.13 %, respectively. Finally, the CORADMO-based CETA model justifies the suitability of dragonfly whale lion optimization with the proposed fuzzy logic. © 2024, Publishing House of the Romanian Academy. All rights reserved."
7,Li D.; Liu Q.; Ma C.,"Li, Dong (57970682000); Liu, Qiming (59369876500); Ma, Changxi (35170519500)",57970682000; 59369876500; 35170519500,Target Cost Prediction for Highway Construction Projects Based on Stacking Modeling,2024,ACM International Conference Proceeding Series,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85212582364&doi=10.1145%2f3690407.3690523&partnerID=40&md5=524c5a83b95f67e5a1e6f952e0dc6383,"Target cost is an expected cost objective set by the project management team during the project initiation phase. By setting the target cost, the team can carry out cost control and monitoring in the process of project execution to ensure that the actual cost of the project is in line with the expected target. This paper addresses the problems of target cost prediction for highway construction projects and proposes a method of project target cost estimation using the Stacking model to effectively overcome the deficiencies in target cost estimation. The Stacking model, as a comprehensive machine learning method in the process of determining the target cost of planning and designing projects, is able to reduce the human bias and make the results of the calculation of the target cost more scientific and effective, thus further improving the accuracy of cost management. © 2024 Copyright held by the owner/author(s)."
8,Ascione F.; Maselli G.; Nesticò A.,"Ascione, Francesco (56572997000); Maselli, Gabriella (57202367438); Nesticò, Antonio (55315316900)",56572997000; 57202367438; 55315316900,Sustainable materials selection in industrial construction: A life-cycle based approach to compare the economic and structural performances of glass fibre reinforced polymer (GFRP) and steel,2024,Journal of Cleaner Production,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204236186&doi=10.1016%2fj.jclepro.2024.143641&partnerID=40&md5=733ab7eb9696a574fbeaa1ebc134042e,"In recent years, Glass Fibre-Reinforced Polymers (GFRPs) have shown positive characteristics in terms of both environmental and structural performance, thus proving to be promising materials that can be used in construction to replace traditional materials, such as steel. Regarding environmental performance, the use of GFRP instead of steel can lead to a significant reduction in energy consumption and CO2 emissions, thus containing the environmental impact during their life cycle and contributing to the energy transition. From a structural point of view, the high corrosion resistance and durability of GFRP structures minimise maintenance requirements and greatly extend their lifespan, which can even be considered unlimited, even in terms of reusability. This paper jointly evaluates for the first time the structural performance and economic viability of industrial constructions made from GFRP pultruded profiles. These performances are then compared with that of equivalent steel constructions. This is done through a standardised and exportable model based on life cycle cost (LCC) which is developed in four phases: (1) technical-mechanical properties and structural analysis of the buildings; (2) modelling and cost estimation; (3) evaluation of the LCC indicator; (4) performance comparison of design alternatives. The elaborations show that industrial GFRP structures, while having a higher investment cost than equivalent steel constructions, can guarantee lower maintenance costs in the long run. Interesting quantitative results are: (i) the construction cost of the GFRP structure exceeds that of the steel structure by about 15%; (ii) maintenance costs are much higher in the steel structure than in the GFRP structure, due to the greater susceptibility to corrosion of structural steel; (iii) in relation to its very high durability, the residual value of GFRP structures coincides with the construction cost, while the residual value of steel structures decreases significantly; (iv) the composite structure has a Global Cost less than 26% of that of the steel structure, being the most economically advantageous alternative considering the costs related to the whole life cycle, also confirming itself as a fairer and more accessible alternative. The proposed Life Cycle Cost-based model can find multiple applications in the field of civil engineering as a valid support for the selection between alternative structural materials, useful for the transition to a more circular, just, and sustainable construction industry. © 2024"
9,Alshibani A.; Almuhtaseb O.; Mohammed A.; Ghaithan A.M.,"Alshibani, Adel (15839025100); Almuhtaseb, Osama (59548882900); Mohammed, Awsan (57208512705); Ghaithan, Ahmed M. (55512339800)",15839025100; 59548882900; 57208512705; 55512339800,A REGRESSION-BASED MODEL FOR PARAMETRIC COST ESTIMATION OF INDUSTRIAL STEEL STRUCTURES,2025,Journal of Civil Engineering and Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000381566&doi=10.3846%2fjcem.2024.22472&partnerID=40&md5=c01b89438c5e63e042c3f1f5cf02f81d,"Construction industry is considered one of the most versatile industries characterized by uncertainties and risk. Estimating the steel structure cost of industrial buildings is a challenging task compared with traditional buildings due to the uniqueness of this class of projects. This paper aims to introduce an effective and accurate parametric model for construction cost estimation of industrial steel structures. The paper proposes a regression-based model for estimating the cost of a critical construction component: the industrial steel structure where the is not enough historical data is available. The factors that affect the construction cost of industrial steel structures are initially identified based on the literature and interviews with local experts. The correlation between input factors and model’s output is then investigated. In addition, sensitivity analysis is performed to examine the relative importance of the regression model’s inputs. The model is validated using actual data on industrial steel structure costs in Saudi Arabia. The model adequately predicted the construction costs of actual projects with an accuracy of more than 88%. This indicates that the model is capable of accurately predicting the cost of such structures. The proposed model can be of great assistance to investors and decision-makers looking to invest in the industrial sector. © 2024 The Author(s)."
10,Almulhim M.S.M.; Alammar H.A.; Sallam Y.S.,"Almulhim, Mohammad S.M. (57216706439); Alammar, Haidar Ali (59402565100); Sallam, Yassin Shaher (6506700905)",57216706439; 59402565100; 6506700905,Influence of steel-to-concrete ratio on sustainable column design in Saudi Arabia,2024,Heliyon,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208564765&doi=10.1016%2fj.heliyon.2024.e40261&partnerID=40&md5=fc6d1a633669c30db51da922de4a1e00,"This study investigates the impact of the steel-to-concrete ratio in building columns on environmental factors, embodied energy, and cost estimations in a hotel construction scenario in the Eastern Province of Saudi Arabia. This study focuses on the production (A1–A3) and construction (A4–A5) stages, omits the use and disposal phases, and extensively examines the material components and their environmental implications. It evaluates the environmental impact of diverse column types. Revit 2022 (Autodesk®) is used to model scenarios with steel-to-concrete ratios of 1.2 %, 1.5 %, and 1.8 %. The most cost-effective steel-to-concrete ratio is 1.2 %, which reduces the embodied carbon and energy by 32 % and 35 %, respectively. A steel-to-concrete ratio of 1.8 % increases the embodied carbon and energy by 13 % and 14 %, respectively, compared with the base case. This indicates the significant contributions of concrete and steel to the embodied carbon and energy during the production stages. This study emphasizes the diminishing cost effectiveness of increasing the steel ratio beyond 1.2 % and highlights the importance of balancing steel usage and cost efficiency in column construction. © 2024 The Author(s)"
