PaperID,Model-Focused Only,Tool/Platform-Focused,Real-World Case Study or Application,Mentions Human/User Factors,Primary Focus on Cost Estimation
1,Yes || Proposes a system dynamics model using Vensim PLE software for cost estimation with mathematical modeling and simulation results.,Yes || Describes use of Vensim PLE software as a modeling platform for cost estimation.,Yes || Model validated against actual project values with total cost error less than 2% compared to actual costs.,No || Not mentioned or unclear.,Yes
2,No || The paper focuses on chemical remediation processes and kinetic modeling rather than AI/ML models for prediction.,No || Not mentioned or unclear.,Yes || Includes economic analysis and mentions field application feasibility with competitive cost comparison.,No || Not mentioned or unclear.,No
3,No || The paper describes a synthetic-comparative evaluation procedure rather than an AI/ML model.,No || Not mentioned or unclear.,Yes || Applied to the case study of Kibera (Nairobi) slum with actual cost estimation results.,No || Not mentioned or unclear.,Yes
4,No || Focuses on crane planning and lift scheduling framework rather than AI/ML models for cost prediction.,Yes || Describes an integrated crane planning and lift scheduling system for managing crane operations.,Yes || Validated through successful implementation in several real modular projects in North America.,No || Not mentioned or unclear.,No || Cost estimation is mentioned as one component but primary focus is on crane lift planning and scheduling.
5,Yes || Proposes an SVM model coupled with BIM for quantity estimation with accuracy validation.,Yes || Describes a MATLAB-Revit software integration platform for construction documentation and quantity estimation.,Yes || Includes comparative analysis with actual documentation data from four multi-story buildings.,No || Not mentioned or unclear.,Yes
6,Yes || Proposes a deep neural network optimized with dragonfly whale lion optimization for cost estimation with simulation results.,No || Not mentioned or unclear.,Yes || Tested on NASA 93 dataset with performance metrics reported.,No || Not mentioned or unclear.,No
7,Yes || Proposes a Stacking model for target cost prediction with emphasis on improving accuracy and overcoming deficiencies in estimation.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions reducing human bias in target cost estimation process.,Yes
8,No || The paper develops a life cycle cost model but focuses on material comparison rather than AI/ML cost prediction methods.,No || Not mentioned or unclear.,Yes || The paper applies the LCC model to compare actual industrial construction alternatives with quantitative cost results.,No || Not mentioned or unclear.,Yes
9,Yes || Proposes a regression-based model for cost estimation with simulation results and accuracy metrics.,No || Not mentioned or unclear.,Yes || Model is validated using actual data on industrial steel structure costs in Saudi Arabia with real project cost predictions.,Yes || Mentions interviews with local experts to identify factors affecting construction costs.,Yes
10,No || The paper analyzes steel-to-concrete ratios but does not propose or test AI/ML models for cost prediction.,Yes || Uses Revit 2022 (Autodesk®) to model scenarios with different steel-to-concrete ratios for cost analysis.,Yes || Implements analysis in a hotel construction scenario in the Eastern Province of Saudi Arabia with actual material cost data.,No || Not mentioned or unclear.,No || Primary focus is on environmental impact and sustainability of column design with cost as a secondary consideration.
11,Yes || Proposes a CNN model combined with subtractive clustering and self-learning mechanism for cost estimation with detailed performance metrics.,No || Not mentioned or unclear.,No || Only mentions experimental results without specifying real-world implementation or actual project data.,No || Not mentioned or unclear.,Yes
12,No || The paper focuses on BIM uses for scheduling rather than proposing specific AI/ML models.,Yes || Describes BIM-based tools and platforms for 4D construction planning and quantity take-off systems.,Yes || Includes expert interviews and cross-impact analysis with industry professionals.,Yes || Mentions expert interviews and discusses how planners can utilize BIM tools in practice.,No
13,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Conducted field surveys and interviews at actual vaccination sites in Beijing with real cost data from 580 locations.,No || Not mentioned or unclear.,No
14,Yes || Proposes Bayesian networks and CNNs with attention mechanisms for optimizing planning processes.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
15,Yes || Develops multiple linear and nonlinear regression models for roadheader performance prediction with statistical evaluation.,No || Not mentioned or unclear.,Yes || Performance measurements conducted in six different coal mines with extensive field data collection.,No || Not mentioned or unclear.,No || Performance prediction is the main focus with cost estimation mentioned only as context for planning.
16,No || Not mentioned or unclear.,Yes || Mentions a computer-aided training framework for shipyard investment cost estimation.,No || Not mentioned or unclear.,Yes || Discusses enhancing engineering intuition through training framework.,No || Cost estimation is only one topic among 53 papers in marine technology proceedings.
17,No || This is a systematic literature review and taxonomy paper rather than proposing or testing specific ML models.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Mentions offering guidance for both researchers and practitioners.,Yes
18,No || Focuses on lifecycle cost analysis methodology rather than AI/ML models for prediction.,No || Presents a quantitative model framework but not a software system or user-facing platform.,Yes || Uses IDCs as a case study to demonstrate the model application with real infrastructure analysis.,No || Not mentioned or unclear.,No || Primary focus is on computing infrastructure lifecycle assessment with cost as one component alongside environmental impact.
19,Yes || Proposes hybrid models integrating ANFIS and ANN with Archimedes Optimization Algorithm for EAC prediction with focus on algorithmic improvements.,No || Not mentioned or unclear.,Yes || Uses 306 data points from 13 actual construction projects in Taiwan between 2000 and 2007.,No || Not mentioned or unclear.,Yes
20,Yes || Develops an integrated mathematical model based on support vector machine for preliminary cost estimation with specific input factors and accuracy enhancement methods.,No || Not mentioned or unclear.,Yes || Uses historical buildings project data from Iraq and aims to help construction project stakeholders improve cost estimation accuracy in real building projects.,No || Not mentioned or unclear.,Yes
21,No || Focuses on plugin development rather than AI/ML model development.,Yes || Describes development of a Revit plugin for automatic quantity extraction with user interface and Excel export functionality.,Yes || Tests the plugin with a building model and compares results with Chenxi BIM software showing less than 1.5% error.,No || Not mentioned or unclear.,Yes
22,Yes || Proposes and compares MLR and SVR models for performance prediction with evaluation metrics like MSE and RMSE.,No || Not mentioned or unclear.,Yes || Applied to sixty datasets from actual housing projects in Baghdad and central Iraq with validation datasets.,No || Not mentioned or unclear.,No || Primary focus is on housing project performance and productivity measurement with cost estimation as a secondary application.
23,Yes || Proposes an LS-SVM with PCA model for cost prediction with performance evaluation using MAE RMSE MAPE and R2 metrics.,No || Not mentioned or unclear.,Yes || Validated using 290 sets of data from 25 different construction companies representing real industry data.,No || Not mentioned or unclear.,Yes
24,No || Proposes statistical process control methodology rather than AI/ML models for prediction.,Yes || Describes a system using SPC techniques including control charts and process capability analysis for monitoring estimation performance.,Yes || Applied to a real project to determine activities with inaccurate estimations and mentions helping estimation departments.,Yes || Explicitly discusses estimation team performance and estimation department improvement needs.,Yes
25,Yes || Proposes an extended 3D constrained Hybrid A* algorithm for optimized road alignment design with cost estimation capabilities.,No || Not mentioned or unclear.,Yes || Validated on two mountainous road design cases with verification by commercial software.,No || Not mentioned or unclear.,No || Primary focus is on road alignment design optimization with cost estimation as a component.
26,Yes || Systematically evaluates six ML models (Ridge Regression, Lasso Regression, Elastic Net, KNN," XGBoost, CatBoost) with focus on predictive performance and algorithmic improvements.,No || Not mentioned or unclear.,Yes || Uses standardized RSMeans dataset comprising 4,477 real-world construction data points for model evaluation.,No || Not mentioned or unclear.,Yes"
27,Yes || Proposes AI-driven decision models and predictive analytics for cost estimation with focus on algorithmic improvements.,Yes || Describes Digital Twin technology integration as a platform for cost modeling and material take-offs.,No || Study proposes a model for UK modular housing but no actual implementation or real project testing is mentioned.,No || Not mentioned or unclear.,Yes
28,Yes || Proposes a fuzzy comprehensive evaluation method for cost evaluation model construction with focus on mathematical methodology.,No || Not mentioned or unclear.,Yes || Mentions application examples in enterprises responding to anti-dumping and power transformers.,Yes || Discusses expert scoring method and how personal opinions of experts influence the weighting process.,Yes
29,No || The paper uses geostatistical methods for analysis but does not propose or test AI/ML models for cost prediction.,No || Not mentioned or unclear.,Yes || Uses real Keyhole imagery data from USGS and applies methods to actual coverage data across China.,No || Not mentioned or unclear.,No
30,Yes || Develops an optimization model for cost estimates that considers weight and cost parameters with computing capabilities for decision-making.,Yes || Describes a computerized cost and weight optimization model using spreadsheet software capabilities.,Yes || Focuses on four types of SPB systems prevalent in Egypt and uses local unit costs of materials for real-world application.,No || Not mentioned or unclear.,Yes
31,No || Focuses on ontological modeling framework rather than AI/ML prediction models.,Yes || Describes a framework with representation and reasoning functionalities for cost breakdown analysis.,Yes || Includes a case study for validating the proposed framework.,Yes || Discusses cost estimators' experience and knowledge limitations and how the framework can enhance their capabilities.,Yes
32,Yes || Proposes a novel method integrating intuitionistic fuzzy sets with multi-dimensional similarity matching algorithm for cost prediction.,No || Not mentioned or unclear.,Yes || Verification through multiple engineering examples demonstrates the method's practical applicability.,No || Not mentioned or unclear.,Yes
33,No || Not mentioned or unclear.,No || Not mentioned or unclear.,Yes || Includes survey data from professionals across various levels in the quantity surveying field.,Yes || Discusses competencies and skills needed by quantity surveying professionals and includes surveys of practitioners.,Yes
34,No || The paper uses statistical analysis methods (RII and EFA) but does not propose AI/ML models for prediction.,No || Discusses digital technologies broadly but does not describe specific software systems or platforms.,Yes || Conducted a survey with construction professionals in Lagos State Nigeria and analyzed real industry data.,Yes || Involves surveying construction professionals and analyzing their perspectives on digital technology implementation.,No || Cost estimation is mentioned as one of five key application areas but the paper's primary focus is on digitalization across all aspects of heavy engineering projects.
35,Yes || Proposes a novel QW-TFIDF project vectorization method for automated project clustering and compares performance with existing approaches.,No || Not mentioned or unclear.,Yes || Validated with state highway agencies data and compared performance with existing methods used in practice.,No || Not mentioned or unclear.,Yes
36,Yes || Proposes YOLOv7 model fine-tuned with PWO-Lite algorithm for bridge deterioration detection with specific accuracy metrics.,Yes || Describes a UAV-based system integrating computer vision and deep learning for automated bridge inspections.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Primary focus is on bridge deterioration detection; cost estimation is only briefly mentioned as a secondary benefit.
37,Yes || Proposes an ANN model for cost prediction with detailed simulation results and comparison to MLR model.,No || Not mentioned or unclear.,Yes || Uses data from actual building constructions in the Philippines for low- to mid-rise buildings.,No || Not mentioned or unclear.,Yes
38,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No || Not mentioned or unclear.,No
39,No || The paper presents an assessment system but does not propose or test AI/ML models for cost prediction.,Yes || Describes SARC system that calculates Index of Rehabilitation and estimates costs for building rehabilitation assessment.,Yes || Applied in a pilot study with real abandoned buildings in Brazil and validated against actual cost data.,Yes || Mentions that the system helps managers and financiers in decision-making processes.,Yes
40,No || Develops a methodology but not an AI/ML model for cost prediction.,No || Not mentioned or unclear.,Yes || Analyzes tender budgets of 21 actual reconstruction projects carried out between 2020-2023.,No || Not mentioned or unclear.,Yes
41,Yes || Proposes a hybrid machine learning model combining ANN with other ML techniques for cost prediction with 97.42% accuracy.,No || Not mentioned or unclear.,Yes || Uses data collected from five different construction projects in India with 180 data entries for model validation.,No || Not mentioned or unclear.,Yes
42,No || Focuses on automatic drawing methodology rather than AI/ML models for cost prediction.,Yes || Describes a CAD-based automatic drawing system that calculates reinforcing bar quantities and generates construction data.,Yes || Demonstrates the methodology using a typical thick RC slab with piles and drain pit as a real structural example.,No || Not mentioned or unclear.,Yes
43,No || The paper focuses on phasing optimization rather than developing AI/ML models for cost prediction.,Yes || Describes a complete platform that processes cost information and provides recommendations for real estate developers.,Yes || Includes a case study demonstrating the practicality of the model in real estate development.,No || Not mentioned or unclear.,No || Cost estimation is only one module of five in a broader phasing optimization system.
44,No || Not mentioned or unclear.,Yes || Describes VR as a technology platform used in construction education.,Yes || Survey of faculty members from construction programs across the USA provides real-world application data.,Yes || Extensively discusses educator perspectives on VR adoption including factors like faculty training and institutional support.,No || Cost estimation is only briefly mentioned as one area where VR application remains limited.
45,Yes || Proposes an AI model utilizing neural network techniques for foundation cost estimation with 95% precision rate.,No || Not mentioned or unclear.,Yes || Uses 180 examples of foundation systems for high-rise buildings and validates against current cost estimation models.,No || Not mentioned or unclear.,Yes
